playerID,Name,birthYear,birthMonth,birthDay
aardsda01,David Aardsma,1981,12,27
aaronha01,Hank Aaron,1934,2,5
aaronto01,Tommie Aaron,1939,8,5
aasedo01,Don Aase,1954,9,8
abadan01,Andy Abad,1972,8,25
abadfe01,Fernando Abad,1985,12,17
abadijo01,John Abadie,1850,11,4
abbated01,Ed Abbaticchio,1877,4,15
abbeybe01,Bert Abbey,1869,11,11
abbeych01,Charlie Abbey,1866,10,14
abbotco01,Cory Abbott,1995,9,20
abbotda01,Dan Abbott,1862,3,16
abbotfr01,Fred Abbott,1874,10,22
abbotgl01,Glenn Abbott,1951,2,16
abbotje01,Jeff Abbott,1972,8,17
abbotji01,Jim Abbott,1967,9,19
abbotku01,Kurt Abbott,1969,6,2
abbotky01,Kyle Abbott,1968,2,18
abbotod01,Ody Abbott,1886,9,5
abbotpa01,Paul Abbott,1967,9,15
aberal01,Al Aber,1927,7,31
abercda01,Frank Abercrombie,1850,1,2
abercre01,Reggie Abercrombie,1980,7,15
abernbi01,Bill Abernathie,1929,1,30
abernbr01,Brent Abernathy,1977,9,23
abernte01,Ted Abernathy,1921,10,30
abernte02,Ted Abernathy,1933,3,6
abernwo01,Woody Abernathy,1915,2,1
aberscl01,Cliff Aberson,1921,8,28
ablesha01,Harry Ables,1883,10,4
abnersh01,Shawn Abner,1966,6,17
abramca01,Cal Abrams,1924,3,2
abramcj01,CJ Abrams,2000,10,3
abramge01,George Abrams,1897,11,9
abregjo01,Johnny Abrego,1962,7,4
abreual01,Albert Abreu,1995,9,26
abreubo01,Bobby Abreu,1974,3,11
abreubr01,Bryan Abreu,1997,4,22
abreujo01,Joe Abreu,1913,5,24
abreujo02,Jose Abreu,1987,1,29
abreuju01,Juan Abreu,1985,4,8
abreuto01,Tony Abreu,1984,11,13
abreuwi01,Winston Abreu,1977,4,5
abstebi01,Bill Abstein,1883,2,2
accarje01,Jeremy Accardo,1981,12,18
aceveal01,Alfredo Aceves,1982,12,8
acevedo01,Domingo Acevedo,1994,3,6
acevejo01,Jose Acevedo,1977,12,18
aceveju01,Juan Acevedo,1970,5,5
achteaj01,A. J. Achter,1988,8,27
ackerji01,Jim Acker,1958,9,24
ackerto01,Tom Acker,1930,3,7
ackledu01,Dustin Ackley,1988,2,26
acklefr01,Fritz Ackley,1937,4,10
acostcy01,Cy Acosta,1946,11,22
acosted01,Ed Acosta,1944,3,9
acostjo01,Jose Acosta,1891,3,4
acostma01,Manny Acosta,1981,5,1
acostme01,Merito Acosta,1896,5,19
acrema01,Mark Acre,1968,9,16
actama99,Manny Acta,1969,1,11
acunaro01,Ronald Acuna,1997,12,18
adairbi99,Bill Adair,1913,2,10
adairje01,Jerry Adair,1936,12,17
adairji01,Jimmy Adair,1907,1,25
adamecr01,Cristhian Adames,1991,7,26
adamewi01,Willy Adames,1995,9,2
adamja01,Jason Adam,1991,8,4
adamsac01,Ace Adams,1910,3,2
adamsau01,Austin Adams,1986,8,19
adamsau02,Austin Adams,1991,5,5
adamsba01,Babe Adams,1882,5,18
adamsbe01,Bert Adams,1891,6,21
adamsbo01,Bob Adams,1901,7,24
adamsbo02,Bob Adams,1907,1,20
adamsbo03,Bobby Adams,1921,12,14
adamsbo04,Bob Adams,1952,1,6
adamsbu01,Buster Adams,1915,6,24
adamsch01,Chance Adams,1994,8,10
adamsda01,Dan Adams,1887,6,19
adamsda02,David Adams,1987,5,15
adamsdi01,Dick Adams,1920,4,8
adamsdo01,Doug Adams,1943,1,27
adamsge01,George Adams,1855,1,25
adamsgl01,Glenn Adams,1947,10,4
adamshe01,Herb Adams,1928,4,14
adamsji01,Jim Adams,1868,NA,NA
adamsjo01,Joe Adams,1877,10,28
adamsjo02,Joel Adamson,1971,7,2
adamska01,Karl Adams,1891,8,11
adamsla01,Lane Adams,1989,11,13
adamsma01,Matt Adams,1988,8,31
adamsmi01,Mike Adamson,1947,9,13
adamsmi02,Mike Adams,1948,7,24
adamsmi03,Mike Adams,1978,7,29
adamsre01,Red Adams,1921,10,7
adamsri01,Rick Adams,1878,12,24
adamsri02,Ricky Adams,1959,1,21
adamsri03,Riley Adams,1996,6,26
adamsru01,Russ Adams,1980,8,30
adamsry01,Ryan Adams,1987,4,21
adamssp01,Sparky Adams,1894,8,26
adamssp02,Spencer Adams,1898,6,21
adamste01,Terry Adams,1973,3,6
adamswi01,Willie Adams,1890,9,27
adamswi02,Willie Adams,1972,10,8
adcocjo01,Joe Adcock,1927,10,30
adcocna01,Nathan Adcock,1988,2,25
addisbo01,Bob Addis,1925,11,6
adducji01,Jim Adduci,1959,8,9
adducji02,Jim Adduci,1985,5,15
addybo01,Bob Addy,1842,2,NA
adelljo01,Jo Adell,1999,4,8
adenhni01,Nick Adenhart,1986,8,24
aderhmo01,Morrie Aderholt,1915,9,13
adkinde01,Dewey Adkins,1918,5,11
adkindi01,Dick Adkins,1920,3,3
adkindo01,Merle Adkins,1872,8,5
adkingr01,Grady Adkins,1897,6,29
adkinhe01,Harry Atkinson,1874,1,19
adkinjo01,Jon Adkins,1977,8,30
adkinst01,Steve Adkins,1964,10,26
adlemti01,Tim Adleman,1987,11,13
adlesda01,Dave Adlesh,1943,7,15
adonjo01,Joan Adon,1998,8,12
adriaeh01,Ehire Adrianza,1989,8,21
afenitr01,Troy Afenir,1963,9,21
affelje01,Jeremy Affeldt,1979,6,6
agbaybe01,Benny Agbayani,1971,12,28
ageeto01,Tommie Agee,1942,8,9
agganha01,Harry Agganis,1929,4,20
aglerjo01,Joe Agler,1887,6,12
agnewsa01,Sam Agnew,1887,4,12
agostju01,Juan Agosto,1958,2,23
agrazda01,Dario Agrazal,1994,12,28
aguaylu01,Luis Aguayo,1959,3,13
aguilch01,Chris Aguila,1979,2,23
aguilje01,Jesus Aguilar,1990,6,30
aguilmi01,Miguel Aguilar,1991,9,26
aguilri01,Rick Aguilera,1961,12,31
aguilry01,Ryan Aguilar,1994,9,11
aguirha01,Hank Aguirre,1931,1,31
ahearch01,Bill Ahearn,1858,NA,NA
ahearpa01,Pat Ahearne,1969,12,10
ahmedni01,Nick Ahmed,1990,3,15
aikenwi01,Willie Aikens,1954,10,14
aingeda01,Danny Ainge,1959,3,17
ainsmed01,Eddie Ainsmith,1890,2,4
ainswku01,Kurt Ainsworth,1978,9,9
aitchra01,Raleigh Aitchison,1887,12,5
aitonge01,George Aiton,1890,12,29
akejo01,John Ake,1861,8,29
akerfda01,Darrel Akerfelds,1962,6,12
akerja01,Jack Aker,1940,7,13
akersbi01,Bill Akers,1904,12,25
akersje01,Jerry Akers,1887,11,1
akinke01,Keegan Akin,1995,4,1
akiyash01,Shogo Akiyama,1988,4,16
alanirj01,R. J. Alaniz,1991,6,14
albagi01,Gibson Alba,1960,1,18
albaljo01,Jonathan Albaladejo,1982,10,30
albanjo01,Joe Albanese,1933,6,26
alberan01,Andrew Albers,1985,10,6
alberbu01,Butch Alberts,1950,5,4
albercy01,Cy Alberts,1882,1,14
albergu01,Gus Alberts,1860,9,NA
alberha01,Hanser Alberto,1992,10,17
alberjo01,Jose Alberro,1969,6,29
alberma01,Matt Albers,1983,1,20
albieoz01,Ozzie Albies,1997,1,7
albosed01,Ed Albosta,1918,10,27
albreed01,Ed Albrecht,1929,2,28
albrija01,Jack Albright,1921,6,30
albural01,Al Alburquerque,1986,6,10
alburvi01,Vic Albury,1947,5,12
alcaljo01,Jorge Alcala,1995,7,28
alcalsa01,Santo Alcala,1952,12,23
alcanar01,Arismendy Alcantara,1991,10,29
alcanis01,Israel Alcantara,1973,5,6
alcanra01,Raul Alcantara,1992,12,4
alcansa01,Sandy Alcantara,1995,9,7
alcanse01,Sergio Alcantara,1996,7,10
alcanvi01,Victor Alcantara,1993,4,3
alcarlu01,Luis Alcaraz,1941,6,20
alcocsc01,Scotty Alcock,1885,11,29
alderda01,Dale Alderson,1918,3,9
aldremi01,Mike Aldrete,1961,1,29
aldresc01,Scott Aldred,1968,6,12
aldrico01,Cory Aldridge,1979,6,13
aldrija01,Jay Aldrich,1961,4,14
aldrivi01,Vic Aldridge,1893,10,25
alenoch01,Chuck Aleno,1917,2,19
alexabo01,Bob Alexander,1922,8,7
alexada01,Dale Alexander,1903,4,26
alexado01,Doyle Alexander,1950,9,4
alexaga01,Gary Alexander,1953,3,27
alexage01,Gerald Alexander,1968,3,26
alexahu01,Hugh Alexander,1917,7,10
alexaja01,Jason Alexander,1993,3,1
alexama01,Matt Alexander,1947,1,30
alexama02,Manny Alexander,1971,3,20
alexani01,Nin Alexander,1858,11,24
alexape01,Pete Alexander,1887,2,26
alexasc01,Scott Alexander,1989,7,10
alexaty01,Tyler Alexander,1994,7,14
alexawa01,Walt Alexander,1891,3,5
alexyaj01,A. J. Alexy,1998,4,21
alfarja01,Jason Alfaro,1977,11,29
alfarjo01,Jorge Alfaro,1993,6,11
alfonan01,Antonio Alfonseca,1972,4,16
alfoned01,Edgardo Alfonzo,1973,11,8
alfonel01,Eliezer Alfonzo,1979,2,7
alforan01,Anthony Alford,1994,7,20
alicelu01,Luis Alicea,1965,7,29
allanan01,Andy Allanson,1961,12,22
allarbr01,Brian Allard,1958,1,3
allarko01,Kolby Allard,1997,8,13
alldrca01,Cam Alldred,1996,7,25
allenau01,Austin Allen,1994,1,16
allenbe01,Bernie Allen,1939,4,16
allenbo01,Bob Allen,1867,7,10
allenbo02,Bob Allen,1894,10,13
allenbo03,Earl Allen,1914,7,2
allenbo04,Bob Allen,1937,10,23
allenbr01,Brandon Allen,1986,2,12
allench01,Chad Allen,1975,2,6
allenco01,Cody Allen,1988,11,20
allendi01,Dick Allen,1942,3,8
allendu01,Dusty Allen,1972,8,9
allenet01,Ethan Allen,1904,1,1
allenfr01,Frank Allen,1888,8,26
allenga01,Gary Allenson,1955,2,4
allengr01,Greg Allen,1993,3,15
allenha01,Ham Allen,1846,4,20
allenha02,Hank Allen,1940,7,23
allenhe01,Hezekiah Allen,1863,2,25
allenho01,Horace Allen,1899,6,11
allenja01,Jack Allen,1855,10,2
allenja02,Jamie Allen,1958,5,29
allenje01,Jermaine Allensworth,1972,1,11
allenjo01,John Allen,1890,10,27
allenjo02,Johnny Allen,1904,9,30
allenki01,Kim Allen,1953,4,5
allenll01,Lloyd Allen,1950,5,8
allenlo01,Logan Allen,1997,5,23
allenlu01,Luke Allen,1978,8,4
allenmy01,Myron Allen,1854,3,22
allenne01,Neil Allen,1958,1,24
allenni01,Nick Allen,1888,9,14
allenni02,Nick Allen,1998,10,8
allenpe01,Pete Allen,1868,5,1
allenro01,Ron Allen,1943,12,23
allenro02,Rod Allen,1959,10,5
allensl01,Sled Allen,1886,8,23
alleyge01,Gene Alley,1940,7,10
allgeni01,Nick Allgeyer,1996,2,3
alliebo01,Bob Allietta,1952,5,1
alliega01,Gair Allie,1931,10,28
allisan01,Andy Allison,1848,NA,NA
allisar01,Art Allison,1849,1,29
allisbi01,Bill Allison,1850,7,16
allisbo01,Bob Allison,1934,7,11
allisda01,Dana Allison,1966,8,14
allisdo01,Doug Allison,1846,7,12
allisma01,Mack Allison,1887,1,23
allismi01,Milo Allison,1890,10,16
allrebe01,Beau Allred,1965,6,4
almadme01,Mel Almada,1913,2,7
almanar01,Armando Almanza,1972,10,26
almanca01,Carlos Almanzar,1973,11,6
almeira01,Rafael Almeida,1887,6,30
almonab01,Abraham Almonte,1989,6,27
almonbi01,Bill Almon,1952,11,21
almoned01,Edwin Almonte,1976,12,17
almoner01,Erick Almonte,1978,2,1
almonhe01,Hector Almonte,1975,10,17
almonmi01,Miguel Almonte,1993,4,4
almonye01,Yency Almonte,1994,6,4
almonzo01,Zoilo Almonte,1989,6,10
almoral01,Albert Almora,1994,4,16
alomalu01,Luis Aloma,1923,6,19
alomaro01,Roberto Alomar,1968,2,5
alomasa01,Sandy Alomar,1943,10,19
alomasa02,Sandy Alomar,1966,6,18
alonspe01,Pete Alonso,1994,12,7
alonsyo01,Yonder Alonso,1987,4,8
aloufe01,Felipe Alou,1935,5,12
alouje01,Jesus Alou,1942,3,24
alouma01,Matty Alou,1938,12,22
aloumo01,Moises Alou,1966,7,3
alperwh01,Whitey Alpermann,1879,11,10
alstode01,Dell Alston,1952,9,22
alstoga01,Garvin Alston,1971,12,8
alstoto01,Tom Alston,1926,1,31
alstowa01,Walter Alston,1911,12,1
altampo01,Porfi Altamirano,1952,5,17
altavda01,Dan Altavilla,1992,9,8
altener01,Ernie Alten,1894,12,1
altenje01,Jesse Altenburg,1893,1,2
altheaa01,Aaron Altherr,1991,1,14
altizda01,Dave Altizer,1876,11,6
altmage01,George Altman,1933,3,20
altobjo01,Joe Altobelli,1932,5,26
altroni01,Nick Altrock,1876,9,15
altuvjo01,Jose Altuve,1990,5,6
alusige01,George Alusik,1935,2,11
alvarab01,Abe Alvarez,1982,10,17
alvarcl01,Clemente Alvarez,1968,5,18
alvarda01,Dario Alvarez,1989,1,17
alvarda02,Dariel Alvarez,1988,11,7
alvared01,Eddy Alvarez,1990,1,30
alvarfr01,Francisco Alvarez,2001,11,19
alvarga01,Gabe Alvarez,1974,3,6
alvarhe01,Henderson Alvarez,1990,4,18
alvarjo01,Jose Alvarez,1956,4,12
alvarjo02,Jose Alvarez,1989,5,6
alvarjo03,Jose Alvarado,1995,5,21
alvarju01,Juan Alvarez,1973,8,9
alvarlu01,Luis Alvarado,1949,1,15
alvaror01,Orlando Alvarez,1952,2,28
alvaros01,Ossie Alvarez,1933,10,19
alvarpe01,Pedro Alvarez,1987,2,6
alvarrj01,R. J. Alvarez,1991,6,8
