Rk,Name,Age,Tm,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,Masataka Yoshida,26,ORX,Fgn,,120,492,408,55,143,22,1,14,64,8,5,72,29,.350,.453,.512,.966,209,6,8,0,4,17,player.fcgi?id=yoshid002mas
2,Yuki Yanagita,31,FKA,Fgn,,119,515,427,90,146,23,5,29,86,7,2,84,103,.342,.449,.623,1.071,266,2,1,0,3,8,player.fcgi?id=yanagi000yuk
3,Kensuke Kondoh,26,NPN,Fgn,,108,467,371,56,126,31,1,5,60,4,0,89,72,.340,.465,.469,.934,174,6,2,0,5,3,player.fcgi?id=kondo-000ken
4,Haruki Nishikawa,28,NPN,Fgn,,115,523,422,82,129,17,3,5,39,42,7,92,84,.306,.430,.396,.825,167,5,2,4,3,1,player.fcgi?id=nishik000har
5,Eigoro Mogi,26,TOH,Fgn,,73,321,276,43,83,14,4,7,33,8,3,39,52,.301,.396,.457,.852,126,4,5,0,1,0,player.fcgi?id=mogi--000eig
6,Daichi Suzuki,30,TOH,Fgn,,120,546,478,71,141,27,1,4,55,1,3,46,58,.295,.363,.381,.744,182,18,7,12,3,0,player.fcgi?id=suzuki001dai
7,Takashi Ogino,34,LOT,Fgn,,53,236,203,30,59,17,0,1,10,19,4,24,23,.291,.370,.389,.759,79,2,2,6,1,0,player.fcgi?id=ogino-001tak
8,Ryoichi Adachi,32,ORX,Fgn,,78,311,266,32,77,9,2,2,23,15,4,26,48,.289,.353,.361,.713,96,9,1,16,2,1,player.fcgi?id=adachi000ryo
9,Hiroto Kobukata,24,TOH,Fgn,,112,437,378,61,109,16,5,3,31,17,9,42,59,.288,.364,.381,.745,144,5,4,11,2,0,player.fcgi?id=kobuka000hir
10,Ryo Watanabe,25,NPN,Fgn,,117,465,414,49,117,13,4,6,39,4,2,43,81,.283,.348,.377,.725,156,9,0,5,3,0,player.fcgi?id=watana002ryo
11,Hiroaki Shimauchi*,30,TOH,Fgn,,114,471,406,50,114,17,2,8,53,9,1,48,71,.281,.363,.392,.755,159,8,7,6,4,1,player.fcgi?id=shimau002hir
12,Hideto Asamura,29,TOH,Fgn,,120,529,432,72,121,25,0,32,104,1,1,91,111,.280,.408,.560,.969,242,15,4,0,2,2,player.fcgi?id=asamur001hid
13,Ikuhiro Kiyota,34,LOT,Fgn,,70,209,180,18,50,13,0,7,23,0,0,22,52,.278,.363,.467,.829,84,6,2,5,0,2,player.fcgi?id=kiyota001iku
14,Yurisbel Gracial,34,FKA,Fgn,,69,276,256,30,71,12,0,10,35,2,0,16,62,.277,.326,.441,.767,113,2,3,0,1,2,player.fcgi?id=gracia000yur
15,Taishi Ohta,30,NPN,Fgn,,115,481,455,57,125,16,1,14,68,3,3,25,105,.275,.314,.407,.721,185,11,1,0,0,1,player.fcgi?id=ota---001tai
16,Steven Moya,28,ORX,Fgn,,46,176,164,20,45,8,2,12,38,0,0,11,33,.274,.324,.567,.891,93,7,1,0,0,1,player.fcgi?id=moya--001ste
17,Takumi Kuriyama,36,SEI,Fgn,,111,428,372,37,101,22,0,12,67,0,0,53,77,.272,.362,.427,.790,159,10,1,0,2,2,player.fcgi?id=kuriya001tak
18,Stefen Romero,31,TOH,Fgn,,103,404,356,46,97,19,2,24,63,0,0,38,108,.272,.354,.539,.893,192,8,8,0,2,5,player.fcgi?id=romero003ste
19,Akira Nakamura*,30,FKA,Fgn,,100,413,362,43,98,13,2,6,50,0,0,39,47,.271,.341,.367,.709,133,4,3,3,6,0,player.fcgi?id=nakamu000aki
20,Sosuke Genda,27,SEI,Fgn,,120,518,455,67,123,14,5,1,21,18,8,38,80,.270,.327,.330,.656,150,6,1,22,2,0,player.fcgi?id=genda-000sos
21,Ukyo Shuto,24,FKA,Fgn,,103,346,307,48,83,8,7,1,27,50,6,24,79,.270,.325,.352,.677,108,2,2,11,2,0,player.fcgi?id=shuto-000uky
22,Kenta Imamiya,28,FKA,Fgn,,43,177,164,30,44,7,2,6,22,2,0,5,22,.268,.285,.445,.730,73,2,0,5,3,1,player.fcgi?id=imamiy000ken
23,Cory Spangenberg,29,SEI,Fgn,,111,445,407,51,109,26,8,15,57,12,2,32,150,.268,.326,.482,.807,196,2,4,0,2,0,player.fcgi?id=spange000cor
24,Yutaro Sugimoto,29,ORX,Fgn,,41,141,127,13,34,3,1,2,17,1,0,10,34,.268,.340,.354,.695,45,4,4,0,0,0,player.fcgi?id=sugimo000yut
25,Keizo Kawashima,36,FKA,Fgn,,59,162,137,21,36,4,0,4,9,0,4,19,17,.263,.369,.380,.748,52,2,4,2,0,0,player.fcgi?id=kawash001kei
26,Tsuyoshi Sugano,27,LOT,Fgn,,81,275,223,24,58,10,3,2,20,1,3,45,55,.260,.389,.359,.748,80,7,2,5,0,0,player.fcgi?id=sugano000tsu
27,Torai Fushimi,30,ORX,Fgn,,71,198,189,14,49,7,2,6,23,0,0,6,35,.259,.281,.413,.693,78,4,0,2,1,0,player.fcgi?id=fusimi000tor
