Rk,Name,Age,Tm,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,Seiya Suzuki,26,HIR,Fgn,,132,533,435,77,138,26,0,38,88,9,4,87,88,.317,.433,.639,1.072,278,7,6,0,5,11,player.fcgi?id=suzuki001sei
2,Shogo Sakakura,23,HIR,Fgn,,132,484,422,58,133,24,2,12,68,4,3,51,60,.315,.390,.467,.857,197,9,4,2,5,1,player.fcgi?id=sakaku000sho
3,Shugo Maki,23,YKO,Fgn,,137,523,487,73,153,35,3,22,71,2,1,27,85,.314,.356,.534,.890,260,16,6,1,2,1,player.fcgi?id=maki--000shu
4,Koji Chikamoto*,26,HAN,Fgn,,140,612,569,91,178,33,5,10,50,24,7,33,58,.313,.354,.441,.795,251,6,4,4,2,0,player.fcgi?id=chikam000koj
5,Masayuki Kuwahara,27,YKO,Fgn,,135,571,519,84,161,39,2,14,43,12,7,44,75,.310,.369,.474,.843,246,12,4,4,0,1,player.fcgi?id=kuwaha000mas
6,Tyler Austin,29,YKO,Fgn,,107,439,373,60,113,25,1,28,74,1,0,60,111,.303,.405,.601,1.006,224,9,5,0,1,2,player.fcgi?id=austin001chr
7,Keita Sano,26,YKO,Fgn,,143,615,545,73,165,34,2,17,72,0,1,61,73,.303,.376,.466,.842,254,14,5,0,4,1,player.fcgi?id=sano--000kei
8,Toshiro Miyazaki,32,YKO,Fgn,,141,569,519,61,156,32,0,16,73,0,0,41,53,.301,.353,.455,.808,236,15,4,0,5,3,player.fcgi?id=miyaza000tos
9,Kaito Kozono,21,HIR,Fgn,,113,481,449,65,134,18,6,5,35,4,4,13,57,.298,.320,.399,.718,179,7,3,12,4,1,player.fcgi?id=kozono000kai
10,Yohei Ohshima*,35,CNI,Fgn,,141,596,548,54,160,19,5,1,34,16,8,42,60,.292,.345,.350,.695,192,4,3,1,2,5,player.fcgi?id=oshima001yoh
11,Koki Ugusa,24,HIR,Fgn,,43,158,148,18,43,7,1,4,14,6,5,6,42,.291,.331,.432,.764,64,1,3,1,0,0,player.fcgi?id=ugusa-000kok
12,Domingo Santana,28,YKU,Fgn,,116,418,372,39,108,23,1,19,62,2,0,42,103,.290,.366,.511,.877,190,12,3,0,1,2,player.fcgi?id=santan002dom
13,Zelous Wheeler,34,YOM,Fgn,,121,427,384,44,111,28,0,15,56,3,1,34,78,.289,.358,.479,.837,184,16,8,0,1,3,player.fcgi?id=wheele001zel
14,Kento Itohara,28,HAN,Fgn,,125,488,441,34,126,17,3,2,30,6,5,41,61,.286,.347,.351,.698,155,9,2,1,3,0,player.fcgi?id=itohar000ken
15,Ryoma Nishikawa,26,HIR,Fgn,,137,551,504,57,144,19,1,12,60,3,3,37,70,.286,.335,.399,.733,201,14,2,4,4,1,player.fcgi?id=nishik000ryo
16,Takayuki Kajitani,32,YOM,Fgn,,61,246,227,31,64,10,1,4,23,11,8,15,40,.282,.333,.388,.721,88,2,3,0,1,0,player.fcgi?id=kajita001tak
17,Yuhei Nakamura,31,YKU,Fgn,,123,445,377,47,105,24,0,2,36,0,3,46,66,.279,.360,.358,.718,135,10,4,14,4,0,player.fcgi?id=nakamu001yuh
18,Munetaka Murakami,21,YKU,Fgn,,143,615,500,82,139,27,0,39,112,12,7,106,133,.278,.408,.566,.974,283,12,6,0,3,6,player.fcgi?id=muraka000mun
19,Yasutaka Shiomi,28,YKU,Fgn,,140,534,474,80,132,21,7,14,59,21,5,48,156,.278,.357,.441,.798,209,1,10,2,0,1,player.fcgi?id=shiomi000yas
20,Ryosuke Kikuchi,31,HIR,Fgn,,132,542,494,64,137,23,2,16,60,1,5,42,86,.277,.333,.429,.762,212,8,1,2,3,2,player.fcgi?id=kikuch000ryo
21,Dayán Viciedo,32,CNI,Fgn,,130,526,480,44,132,23,1,17,70,1,2,35,56,.275,.333,.433,.766,208,15,8,0,3,9,player.fcgi?id=vicied001day
22,Seiya Matsubara,26,YOM,Fgn,,135,477,431,69,118,20,4,12,37,15,7,38,100,.274,.333,.422,.756,182,4,2,3,3,0,player.fcgi?id=matsub000sei
23,Takumu Nakano,25,HAN,Fgn,,135,525,466,45,127,15,4,1,36,30,2,29,81,.273,.321,.328,.649,153,6,6,20,4,5,player.fcgi?id=nakano004tak
24,Takayoshi Noma,28,HIR,Fgn,,74,270,250,27,68,7,2,2,12,9,1,17,29,.272,.323,.340,.663,85,3,2,1,0,0,player.fcgi?id=noma--000tak
25,Tetsuto Yamada,28,YKU,Fgn,,137,581,493,84,134,18,0,34,101,4,3,76,100,.272,.370,.515,.885,254,10,5,0,7,0,player.fcgi?id=yamada000tet
26,Naoki Yoshikawa,26,YOM,Fgn,,108,329,305,35,83,13,1,5,25,7,0,17,48,.272,.313,.370,.683,113,4,2,3,2,2,player.fcgi?id=yoshik000nao
27,Hiroyuki Nakajima,38,YOM,Fgn,,81,195,181,11,49,10,0,6,26,0,0,9,35,.271,.314,.425,.740,77,9,3,1,1,1,player.fcgi?id=nakaji001hir
28,Hayato Sakamoto,32,YOM,Fgn,,117,487,424,53,115,26,0,19,46,2,3,58,90,.271,.359,.467,.826,198,4,1,2,2,4,player.fcgi?id=sakamo001hay
29,Takuya Kinoshita,29,CNI,Fgn,,123,393,352,33,95,17,0,11,43,1,1,35,58,.270,.336,.412,.748,145,11,1,3,2,4,player.fcgi?id=kinosh000tak
30,Kota Hayashi,20,HIR,Fgn,,102,376,357,26,95,15,0,10,40,0,1,16,93,.266,.301,.392,.693,140,9,2,0,1,3,player.fcgi?id=hayash000kot
31,Yoshihiro Maru,32,YOM,Fgn,,118,457,392,58,104,21,0,23,55,5,3,63,120,.265,.365,.495,.860,194,5,0,0,2,0,player.fcgi?id=maru--001yos
32,Kazuma Okamoto,25,YOM,Fgn,,143,592,521,71,138,19,1,39,113,1,1,57,108,.265,.341,.530,.871,276,16,7,0,7,4,player.fcgi?id=okamot002kaz
33,Ryuhei Matsuyama,35,HIR,Fgn,,85,194,175,9,46,10,0,2,29,0,0,17,22,.263,.325,.354,.679,62,4,0,0,2,0,player.fcgi?id=matsuy001ryu
34,Yusuke Ohyama,26,HAN,Fgn,,129,512,466,55,121,23,2,21,71,2,1,37,89,.260,.313,.453,.765,211,15,2,0,7,1,player.fcgi?id=oyama-000yus
35,Shuhei Takahashi,27,CNI,Fgn,,137,520,475,40,123,27,0,5,39,1,0,40,79,.259,.315,.347,.663,165,21,1,0,4,4,player.fcgi?id=takaha000shu
36,Nori Aoki,39,YKU,Fgn,,122,501,446,57,115,29,0,9,56,0,0,43,44,.258,.335,.383,.719,171,10,10,0,2,1,player.fcgi?id=aoki--001nor
