Year,Age,AgeDif,Tm,Lg,Lev,Aff,W,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
2008,20,,2 Teams,2 Lgs,Fgn,,12,3,.800,3.30,3.60,26,18,,2,1,0,150.0,147,60,55,10,41,1,81,6,2,0,634,1.253,8.8,0.6,2.5,4.9,1.98
2008,20,-8.2,Hiroshima,JPCL,Fgn,,9,2,.818,3.20,3.53,19,18,,1,1,0,109.2,103,43,39,10,35,1,55,3,1,0,462,1.258,8.5,0.8,2.9,4.5,1.57
2008,20,-5.8,Hiroshima,JPWL,Fgn,,3,1,.750,3.57,3.79,7,,,1,0,0,40.1,44,17,16,0,6,0,26,3,1,0,172,1.240,9.8,0.0,1.3,5.8,4.33
2009,21,-7.6,Hiroshima,JPCL,Fgn,,8,14,.364,3.36,3.82,29,29,,3,1,0,193.0,194,82,72,22,29,1,147,3,0,2,795,1.155,9.0,1.0,1.4,6.9,5.07
2010,22,-6.3,Hiroshima,JPCL,Fgn,,15,8,.652,2.21,2.30,28,28,0,6,2,0,215.2,166,55,53,15,46,3,174,7,0,2,848,0.983,6.9,0.6,1.9,7.3,3.78
2011,23,-5.0,Hiroshima,JPCL,Fgn,,10,12,.455,2.46,2.54,31,31,0,4,2,0,216.0,178,61,59,14,43,0,192,6,0,4,864,1.023,7.4,0.6,1.8,8.0,4.47
2012,24,-4.4,Hiroshima,JPCL,Fgn,,14,7,.667,1.53,2.01,29,29,0,5,2,0,206.1,161,46,35,6,44,1,171,9,0,2,820,0.994,7.0,0.3,1.9,7.5,3.89
2013,25,-3.4,Hiroshima,JPCL,Fgn,,15,7,.682,2.10,2.36,26,26,0,3,1,0,175.2,129,46,41,13,40,1,158,2,0,1,690,0.962,6.6,0.7,2.0,8.1,3.95
2014,26,-2.4,Hiroshima,JPCL,Fgn,,11,9,.550,2.60,2.94,27,27,0,1,1,0,187.0,164,61,54,12,41,1,161,2,1,4,746,1.096,7.9,0.6,2.0,7.7,3.93
2015,27,-1.5,Hiroshima,JPCL,Fgn,,15,8,.652,2.09,2.14,29,29,0,5,0,0,206.1,168,49,48,5,41,1,175,6,0,3,821,1.013,7.3,0.2,1.8,7.6,4.27
2016,28,-0.1,LAD,NL,Maj,LAD,16,11,.593,3.48,3.69,32,32,0,0,0,0,175.2,150,72,68,20,50,6,179,8,0,6,716,1.139,7.7,1.0,2.6,9.2,3.58
2017,29,5.9,Rancho Cucamonga,CALL,A+,LAD,0,0,,2.25,6.75,1,1,0,0,0,0,4.0,6,3,1,0,2,0,1,0,0,0,21,2.000,13.5,0.0,4.5,2.3,0.50
2017,29,0.6,LAD,NL,Maj,LAD,13,6,.684,4.22,4.56,29,25,1,0,0,1,134.1,121,68,63,22,34,1,140,5,0,4,557,1.154,8.1,1.5,2.3,9.4,4.12
2018,30,1.8,LAD,NL,Maj,LAD,8,10,.444,3.81,4.16,39,20,4,0,0,2,125.1,115,58,53,13,43,4,153,5,2,2,532,1.261,8.3,0.9,3.1,11.0,3.56
2019,31,2.7,LAD,NL,Maj,LAD,10,8,.556,4.04,4.10,37,26,3,0,0,3,153.2,114,70,69,22,51,1,169,4,0,3,624,1.074,6.7,1.3,3.0,9.9,3.31
2020,32,3.8,MIN,AL,Maj,MIN,6,1,.857,2.70,2.70,11,11,0,0,0,0,66.2,40,20,20,9,10,0,80,0,0,0,248,0.750,5.4,1.2,1.4,10.8,8.00
2021,33,6.0,St. Paul,AAAE,AAA,MIN,0,0,,2.25,2.25,1,1,0,0,0,0,4.0,1,1,1,1,1,0,5,0,0,0,14,0.500,2.3,2.3,2.3,11.3,5.00
2021,33,4.5,MIN,AL,Maj,MIN,6,5,.545,4.66,5.08,21,21,0,0,0,0,106.1,106,60,55,16,32,1,113,7,0,3,453,1.298,9.0,1.4,2.7,9.6,3.53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,35,8.1,St. Paul,IL,AAA,MIN,0,0,,2.03,2.03,4,4,0,0,0,0,13.1,10,3,3,1,5,0,17,0,0,1,55,1.125,6.8,0.7,3.4,11.5,3.40
2023,35,6.3,MIN,AL,Maj,MIN,6,8,.429,4.23,4.31,21,20,0,0,0,0,104.1,94,50,49,17,28,0,117,3,0,2,428,1.169,8.1,1.5,2.4,10.1,4.18
2024,36,9.0,Toledo,IL,AAA,DET,0,0,,3.00,3.00,1,1,0,0,0,0,3.0,3,1,1,0,0,0,6,0,0,0,13,1.000,9.0,0.0,0.0,18.0,
2024,36,7.0,DET,AL,Maj,DET,3,7,.300,6.09,6.41,29,17,2,0,0,0,112.1,124,80,76,22,31,0,96,5,0,3,485,1.380,9.9,1.8,2.5,7.7,3.10
2025,37,,2 Teams,IL,AAA,CHC-NYY,6,7,.462,5.40,5.67,20,20,0,0,0,0,100.0,93,63,60,13,39,0,83,5,1,3,426,1.320,8.4,1.2,3.5,7.5,2.13
2025,37,9.7,Iowa,IL,AAA,CHC,3,4,.429,5.97,6.12,12,12,0,0,0,0,57.1,54,39,38,8,25,0,45,3,0,3,249,1.378,8.5,1.3,3.9,7.1,1.80
2025,37,9.7,Scranton/Wilkes-Barre,IL,AAA,NYY,3,3,.500,4.64,5.06,8,8,0,0,0,0,42.2,39,24,22,5,14,0,38,2,1,0,177,1.242,8.2,1.1,3.0,8.0,2.71
2025,37,7.8,DET,AL,Maj,DET,0,0,,7.88,9.00,7,0,5,0,0,0,8.0,9,8,7,1,6,0,8,3,0,2,43,1.875,10.1,1.1,6.8,9.0,1.33
