Year,Age,AgeDif,Tm,Lg,Lev,Aff,W,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
2015,22,,2 Teams,2 Lgs,Fgn,,8,8,.500,4.13,4.56,23,18,0,1,1,0,126.1,127,64,58,13,34,0,102,3,0,2,538,1.274,9.0,0.9,2.4,7.3,3.00
2015,22,-5.6,Nippon Ham,JPPL,Fgn,,8,6,.571,4.79,5.23,18,18,0,1,1,0,103.1,113,60,55,13,32,0,81,3,0,2,453,1.403,9.8,1.1,2.8,7.1,2.53
2015,22,-4.8,Nippon Ham,JPEL,Fgn,,0,2,.000,1.17,1.57,5,,,0,0,0,23.0,14,4,3,0,2,0,21,0,0,0,85,0.696,5.5,0.0,0.8,8.2,10.50
2016,23,-4.7,Nippon Ham,JPPL,Fgn,,11,9,.550,2.94,3.00,22,,,2,1,0,156.0,150,52,51,13,38,1,103,2,1,3,640,1.205,8.7,0.8,2.2,5.9,2.71
2017,24,,2 Teams,2 Lgs,Fgn,,10,14,.417,4.70,5.10,27,25,0,4,0,0,180.0,208,102,94,21,39,2,94,4,0,5,773,1.372,10.4,1.1,2.0,4.7,2.41
2017,24,-3.7,Nippon Ham,JPPL,Fgn,,10,13,.435,4.74,5.17,25,25,0,4,0,0,169.0,194,97,89,21,39,2,88,4,0,5,726,1.379,10.3,1.1,2.1,4.7,2.26
2017,24,-2.2,Nippon Ham,JPEL,Fgn,,0,1,.000,4.09,4.09,2,,,0,0,0,11.0,14,5,5,0,0,0,6,0,0,0,47,1.273,11.5,0.0,0.0,4.9,
2018,25,,2 Teams,2 Lgs,Fgn,,9,5,.643,4.33,4.70,24,,,1,0,2,122.2,135,64,59,17,17,0,100,5,0,1,520,1.239,9.9,1.2,1.2,7.3,5.88
2018,25,-2.6,Nippon Ham,JPPL,Fgn,,8,5,.615,4.55,4.88,20,,,1,0,2,110.2,124,60,56,17,15,0,87,5,0,0,471,1.256,10.1,1.4,1.2,7.1,5.80
2018,25,-1.1,Nippon Ham,JPEL,Fgn,,1,0,1.000,2.25,3.00,4,,,0,0,0,12.0,11,4,3,0,2,0,13,0,0,1,49,1.083,8.3,0.0,1.5,9.8,6.50
2019,26,-1.4,Nippon Ham,JPPL,Fgn,,15,8,.652,2.46,2.68,24,,,1,1,0,164.1,111,49,45,14,40,0,161,9,0,9,639,0.919,6.1,0.8,2.2,8.8,4.03
2020,27,-0.7,Nippon Ham,JPPL,Fgn,,8,9,.471,3.46,3.80,20,,,3,1,0,132.2,125,56,51,11,30,0,106,6,0,2,547,1.168,8.5,0.7,2.0,7.2,3.53
2021,28,,2 Teams,2 Lgs,AAA-AA,TEX,0,1,.000,9.26,10.80,4,4,0,0,0,0,11.2,12,14,12,3,5,0,8,0,0,1,51,1.457,9.3,2.3,3.9,6.2,1.60
2021,28,0.6,Round Rock,AAAW,AAA,TEX,0,1,.000,11.17,13.03,3,3,0,0,0,0,9.2,11,14,12,3,5,0,6,0,0,1,44,1.655,10.2,2.8,4.7,5.6,1.20
2021,28,3.3,Frisco,AACN,AA,TEX,0,0,,0.00,0.00,1,1,0,0,0,0,2.0,1,0,0,0,0,0,2,0,0,0,7,0.500,4.5,0.0,0.0,9.0,
2021,28,-0.5,TEX,AL,Maj,TEX,2,4,.333,6.64,6.86,10,10,0,0,0,0,40.2,45,31,30,11,13,0,24,4,0,1,178,1.426,10.0,2.4,2.9,5.3,1.85
2022,29,1.8,Round Rock,PCL,AAA,TEX,3,6,.333,4.86,5.35,19,15,0,0,0,0,74.0,80,44,40,10,19,0,64,6,1,2,320,1.338,9.7,1.2,2.3,7.8,3.37
2022,29,0.6,TEX,AL,Maj,TEX,1,3,.250,9.45,9.90,5,4,0,0,0,0,20.0,36,22,21,4,11,0,14,3,0,0,108,2.350,16.2,1.8,5.0,6.3,1.27
2023,30,,2 Teams,2 Lgs,Fgn,,12,5,.706,2.71,3.26,25,,,1,1,0,163.0,146,59,49,15,34,1,92,8,0,2,661,1.104,8.1,0.8,1.9,5.1,2.71
2023,30,2.3,Softbank,JPPL,Fgn,,10,5,.667,2.31,2.98,17,,,1,1,0,120.2,105,40,31,13,25,1,74,7,0,1,490,1.077,7.8,1.0,1.9,5.5,2.96
2023,30,4.3,Softbank,JPWL,Fgn,,2,0,1.000,3.83,4.04,8,,,0,0,0,42.1,41,19,18,2,9,0,18,1,0,1,171,1.181,8.7,0.4,1.9,3.8,2.00
2024,31,3.3,Softbank,JPPL,Fgn,,14,7,.667,2.36,2.76,26,,,3,2,0,182.2,142,56,48,12,37,0,137,8,0,1,718,0.980,7.0,0.6,1.8,6.8,3.70
2025,32,4.3,Softbank,JPPL,Fgn,,14,9,.609,3.03,3.45,26,,,1,1,0,175.0,167,67,59,10,41,1,121,6,0,2,724,1.189,8.6,0.5,2.1,6.2,2.95
