Year,Age,AgeDif,Tm,Lg,Lev,Aff,W,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
2016,22,,2 Teams,2 Lgs,Fgn,,6,7,.462,3.62,4.21,27,,,0,0,0,107.0,73,50,43,4,73,0,92,11,0,2,465,1.364,6.1,0.3,6.1,7.7,1.26
2016,22,-6.0,Hanshin,JPCL,Fgn,,4,5,.444,3.29,4.08,13,,,0,0,0,68.1,41,31,25,1,40,0,52,8,0,2,289,1.185,5.4,0.1,5.3,6.8,1.30
2016,22,-4.8,Hanshin,JPWL,Fgn,,2,2,.500,4.19,4.42,14,,,0,0,0,38.2,32,19,18,3,33,0,40,3,0,0,176,1.681,7.4,0.7,7.7,9.3,1.21
2017,23,,2 Teams,2 Lgs,Fgn,,7,10,.412,3.08,4.30,23,12,0,1,0,0,125.2,110,60,43,3,51,0,90,15,0,1,548,1.281,7.9,0.2,3.7,6.4,1.76
2017,23,-4.7,Hanshin,JPCL,Fgn,,4,4,.500,3.22,4.48,12,12,0,0,0,0,64.1,53,32,23,2,28,0,50,10,0,0,282,1.259,7.4,0.3,3.9,7.0,1.79
2017,23,-3.2,Hanshin,JPWL,Fgn,,3,6,.333,2.93,4.11,11,,,1,0,0,61.1,57,28,20,1,23,0,40,5,0,1,266,1.304,8.4,0.1,3.4,5.9,1.74
2018,24,,2 Teams,2 Lgs,Fgn,,9,3,.750,2.87,3.46,20,,,0,0,0,91.0,84,35,29,3,36,0,92,6,0,3,391,1.319,8.3,0.3,3.6,9.1,2.56
2018,24,-1.6,Hanshin,JPWL,Fgn,,8,2,.800,2.73,3.50,16,,,0,0,0,69.1,61,27,21,2,30,0,70,6,0,2,298,1.313,7.9,0.3,3.9,9.1,2.33
2018,24,-3.9,Hanshin,JPCL,Fgn,,1,1,.500,3.32,3.32,4,,,0,0,0,21.2,23,8,8,1,6,0,22,0,0,1,93,1.338,9.6,0.4,2.5,9.1,3.67
2019,25,,2 Teams,2 Lgs,Fgn,,10,9,.526,3.01,3.38,26,,,1,1,0,149.1,150,56,50,14,44,3,103,12,1,1,626,1.299,9.0,0.8,2.7,6.2,2.34
2019,25,-2.8,Hanshin,JPCL,Fgn,,9,9,.500,3.14,3.52,25,,,1,1,0,143.1,145,56,50,14,42,3,100,12,1,0,601,1.305,9.1,0.9,2.6,6.3,2.38
2019,25,-0.3,Hanshin,JPWL,Fgn,,1,0,1.000,0.00,0.00,1,,,0,0,0,6.0,5,0,0,0,2,0,3,0,0,1,25,1.167,7.5,0.0,3.0,4.5,1.50
2020,26,-1.5,Hanshin,JPCL,Fgn,,7,9,.438,3.36,3.80,21,,,1,0,0,120.2,111,51,45,4,44,3,88,5,0,2,510,1.285,8.3,0.3,3.3,6.6,2.00
2021,27,-0.2,Hanshin,JPCL,Fgn,,13,6,.684,2.48,2.76,25,,,0,0,0,156.1,143,48,43,11,48,8,104,3,0,0,651,1.222,8.2,0.6,2.8,6.0,2.17
2022,28,,2 Teams,2 Lgs,Fgn,,13,4,.765,2.07,2.55,26,,,4,2,0,169.1,130,48,39,8,34,4,137,8,0,0,673,0.969,6.9,0.4,1.8,7.3,4.03
2022,28,0.8,Hanshin,JPCL,Fgn,,13,4,.765,2.05,2.55,24,,,4,2,0,162.1,126,46,37,7,32,4,132,8,0,0,644,0.973,7.0,0.4,1.8,7.3,4.13
2022,28,2.0,Hanshin,JPWL,Fgn,,0,0,,2.57,2.57,2,,,0,0,0,7.0,4,2,2,1,2,0,5,0,0,0,29,0.857,5.1,1.3,2.6,6.4,2.50
2023,29,,2 Teams,2 Lgs,Fgn,,10,7,.588,4.01,4.28,23,,,0,0,0,132.1,130,63,59,7,45,2,85,11,0,5,573,1.322,8.8,0.5,3.1,5.8,1.89
2023,29,1.5,Hanshin,JPCL,Fgn,,8,6,.571,4.57,4.84,18,,,0,0,0,100.1,102,54,51,6,38,2,64,9,0,3,439,1.395,9.1,0.5,3.4,5.7,1.68
2023,29,3.3,Hanshin,JPWL,Fgn,,2,1,.667,2.25,2.53,5,,,0,0,0,32.0,28,9,8,1,7,0,21,2,0,2,134,1.094,7.9,0.3,2.0,5.9,3.00
2024,30,,2 Teams,2 Lgs,Fgn,,7,6,.538,3.00,3.47,23,,,0,0,1,114.0,110,44,38,3,39,1,78,9,1,2,485,1.307,8.7,0.2,3.1,6.2,2.00
2024,30,2.4,Hanshin,JPCL,Fgn,,2,3,.400,3.69,4.57,12,,,0,0,0,61.0,66,31,25,2,21,1,35,6,1,1,269,1.426,9.7,0.3,3.1,5.2,1.67
2024,30,4.2,Hanshin,JPWL,Fgn,,5,3,.625,2.21,2.21,11,,,0,0,1,53.0,44,13,13,1,18,0,43,3,0,1,216,1.170,7.5,0.2,3.1,7.3,2.39
2025,31,,2 Teams,2 Lgs,AAA-AA,PHI,1,3,.250,7.22,8.02,23,6,6,0,0,0,33.2,31,30,27,6,38,0,28,7,0,2,172,2.050,8.3,1.6,10.2,7.5,0.74
2025,31,,2 Teams,2 Lgs,Fgn,,1,5,.167,6.89,7.71,8,,,0,0,0,32.2,39,28,25,4,26,0,24,4,0,0,163,1.990,10.7,1.1,7.2,6.6,0.92
2025,31,3.7,Lehigh Valley,IL,AAA,PHI,0,1,.000,7.45,8.84,19,2,6,0,0,0,19.1,21,19,16,2,23,0,16,4,0,1,106,2.276,9.8,0.9,10.7,7.4,0.70
2025,31,6.3,Reading,EL,AA,PHI,1,2,.333,6.91,6.91,4,4,0,0,0,0,14.1,10,11,11,4,15,0,12,3,0,1,66,1.744,6.3,2.5,9.4,7.5,0.80
2025,31,4.5,Yakult,JPEL,Fgn,,1,3,.250,6.05,7.45,5,,,0,0,0,19.1,25,16,13,1,15,0,15,1,0,0,98,2.069,11.6,0.5,7.0,7.0,1.00
2025,31,3.1,Yakult,JPCL,Fgn,,0,2,.000,8.10,8.10,3,,,0,0,0,13.1,14,12,12,3,11,0,9,3,0,0,65,1.875,9.5,2.0,7.4,6.1,0.82
