Year,Age,AgeDif,Tm,Lg,Lev,Aff,W,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
2013,19,-7.7,Nippon Ham,JPEL,Fgn,,4,8,.333,4.95,6.04,18,,,1,0,0,107.1,111,72,59,13,40,0,77,2,0,6,470,1.407,9.3,1.1,3.4,6.5,1.93
2014,20,,2 Teams,2 Lgs,Fgn,,8,10,.444,3.60,3.91,27,22,0,2,1,0,147.1,132,64,59,14,50,0,117,7,2,2,621,1.235,8.1,0.9,3.1,7.1,2.34
2014,20,-7.6,Nippon Ham,JPPL,Fgn,,8,8,.500,3.19,3.26,23,22,0,2,1,0,135.1,113,49,48,14,45,0,105,7,2,2,559,1.167,7.5,0.9,3.0,7.0,2.33
2014,20,-6.7,Nippon Ham,JPEL,Fgn,,0,2,.000,8.25,11.25,4,,,0,0,0,12.0,19,15,11,0,5,0,12,0,0,0,62,2.000,14.3,0.0,3.8,9.0,2.40
2015,21,,2 Teams,2 Lgs,Fgn,,7,8,.467,3.92,4.39,25,13,0,1,0,0,135.1,124,66,59,11,55,0,77,7,2,5,589,1.323,8.2,0.7,3.7,5.1,1.40
2015,21,-6.6,Nippon Ham,JPPL,Fgn,,5,6,.455,4.18,4.90,13,13,0,1,0,0,75.1,75,41,35,6,30,0,43,5,1,1,335,1.394,9.0,0.7,3.6,5.1,1.43
2015,21,-5.8,Nippon Ham,JPEL,Fgn,,2,2,.500,3.60,3.75,12,,,0,0,0,60.0,49,25,24,5,25,0,34,2,1,4,254,1.233,7.4,0.8,3.8,5.1,1.36
2016,22,-4.8,Nippon Ham,JPEL,Fgn,,0,1,.000,7.20,7.20,4,,,0,0,0,5.0,6,4,4,0,4,0,2,0,0,1,25,2.000,10.8,0.0,7.2,3.6,0.50
2017,23,,2 Teams,2 Lgs,Fgn,,5,13,.278,3.28,4.06,24,15,0,0,0,0,137.1,128,62,50,13,50,1,112,2,1,2,588,1.296,8.4,0.9,3.3,7.3,2.24
2017,23,-4.7,Nippon Ham,JPPL,Fgn,,4,9,.308,3.44,3.83,15,15,0,0,0,0,91.2,84,39,35,11,32,1,74,2,1,2,388,1.265,8.2,1.1,3.1,7.3,2.31
2017,23,-3.2,Nippon Ham,JPEL,Fgn,,1,4,.200,2.96,4.53,9,,,0,0,0,45.2,44,23,15,2,18,0,38,0,0,0,200,1.358,8.7,0.4,3.5,7.5,2.11
2018,24,,2 Teams,2 Lgs,Fgn,,11,7,.611,3.47,3.73,27,,,4,3,0,171.1,157,71,66,15,42,1,154,6,0,4,704,1.161,8.2,0.8,2.2,8.1,3.67
2018,24,-3.6,Nippon Ham,JPPL,Fgn,,11,6,.647,3.16,3.38,25,,,4,3,0,165.1,146,62,58,15,38,1,151,5,0,3,670,1.113,7.9,0.8,2.1,8.2,3.97
2018,24,-2.1,Nippon Ham,JPEL,Fgn,,0,1,.000,12.00,13.50,2,,,0,0,0,6.0,11,9,8,0,4,0,3,1,0,1,34,2.500,16.5,0.0,6.0,4.5,0.75
2019,25,-2.4,Nippon Ham,JPPL,Fgn,,5,3,.625,3.15,4.29,11,,,0,0,0,71.1,69,34,25,5,27,1,64,1,0,3,307,1.346,8.7,0.6,3.4,8.1,2.37
2020,26,,2 Teams,2 Lgs,Fgn,,9,6,.600,3.00,3.62,16,,,1,0,0,102.0,86,41,34,7,39,1,93,1,0,4,428,1.225,7.6,0.6,3.4,8.2,2.38
