Year,Age,AgeDif,Tm,Lg,Lev,Aff,W,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
2016,18,,2 Teams,2 Lgs,Fgn,,5,8,.385,3.97,4.35,24,,,0,0,0,118.0,101,57,52,10,67,0,92,2,0,9,519,1.424,7.7,0.8,5.1,7.0,1.37
2016,18,-10.0,Chunichi,JPCL,Fgn,,2,6,.250,3.36,3.73,15,,,0,0,0,72.1,56,30,27,7,40,0,58,2,0,4,310,1.327,7.0,0.9,5.0,7.2,1.45
2016,18,-8.8,Chunichi,JPWL,Fgn,,3,2,.600,4.93,5.32,9,,,0,0,0,45.2,45,27,25,3,27,0,34,0,0,5,209,1.577,8.9,0.6,5.3,6.7,1.26
2017,19,,2 Teams,2 Lgs,Fgn,,7,9,.438,4.70,4.76,27,,,1,0,0,141.2,143,75,74,22,63,1,128,2,0,8,621,1.454,9.1,1.4,4.0,8.1,2.03
2017,19,-8.7,Chunichi,JPCL,Fgn,,5,8,.385,4.84,4.92,22,,,1,0,0,119.0,124,65,64,21,53,1,105,1,0,7,522,1.487,9.4,1.6,4.0,7.9,1.98
2017,19,-7.2,Chunichi,JPWL,Fgn,,2,1,.667,3.97,3.97,5,,,0,0,0,22.2,19,10,10,1,10,0,23,1,0,1,99,1.279,7.5,0.4,4.0,9.1,2.30
2018,20,,2 Teams,2 Lgs,Fgn,,5,6,.455,4.28,4.61,18,,,1,1,0,109.1,111,56,52,15,49,0,77,3,0,3,477,1.463,9.1,1.2,4.0,6.3,1.57
2018,20,-7.9,Chunichi,JPCL,Fgn,,5,6,.455,4.11,4.44,17,,,1,1,0,107.1,108,53,49,15,47,0,73,3,0,2,466,1.444,9.1,1.3,3.9,6.1,1.55
2018,20,-5.6,Chunichi,JPWL,Fgn,,0,0,,13.50,13.50,1,,,0,0,0,2.0,3,3,3,0,2,0,4,0,0,1,11,2.500,13.5,0.0,9.0,18.0,2.00
2019,21,,2 Teams,2 Lgs,Fgn,,5,2,.714,2.15,2.30,12,,,0,0,0,62.2,51,16,15,6,9,0,48,2,0,6,244,0.957,7.3,0.9,1.3,6.9,5.33
2019,21,-6.8,Chunichi,JPCL,Fgn,,3,1,.750,2.56,2.79,7,,,0,0,0,38.2,34,12,11,5,7,0,32,2,0,4,155,1.060,7.9,1.2,1.6,7.4,4.57
2019,21,-4.3,Chunichi,JPWL,Fgn,,2,1,.667,1.50,1.50,5,,,0,0,0,24.0,17,4,4,1,2,0,16,0,0,2,89,0.792,6.4,0.4,0.8,6.0,8.00
2020,22,,2 Teams,2 Lgs,Fgn,,2,6,.250,4.93,5.58,12,,,1,0,0,69.1,78,43,38,7,19,0,43,3,0,4,291,1.399,10.1,0.9,2.5,5.6,2.26
2020,22,-3.5,Chunichi,JPWL,Fgn,,1,3,.250,4.11,4.65,8,,,1,0,0,50.1,56,26,23,3,11,0,27,2,0,4,206,1.331,10.0,0.5,2.0,4.8,2.45
2020,22,-5.5,Chunichi,JPCL,Fgn,,1,3,.250,7.11,8.05,4,,,0,0,0,19.0,22,17,15,4,8,0,16,1,0,0,85,1.579,10.4,1.9,3.8,7.6,2.00
2021,23,-4.2,Chunichi,JPCL,Fgn,,8,10,.444,3.64,3.77,25,,,0,0,0,143.1,141,60,58,16,51,1,115,4,0,4,615,1.340,8.9,1.0,3.2,7.2,2.25
2022,24,,2 Teams,2 Lgs,Fgn,,10,8,.556,2.72,2.85,23,,,0,0,0,148.2,127,47,45,9,40,1,144,1,0,4,599,1.123,7.7,0.5,2.4,8.7,3.60
2022,24,-3.2,Chunichi,JPCL,Fgn,,10,8,.556,2.76,2.88,22,,,0,0,0,146.2,127,47,45,9,39,1,142,1,0,4,592,1.132,7.8,0.6,2.4,8.7,3.64
2022,24,-2.0,Chunichi,JPWL,Fgn,,0,0,,0.00,0.00,1,,,0,0,0,2.0,0,0,0,0,1,0,2,0,0,0,7,0.500,0.0,0.0,4.5,9.0,2.00
2023,25,-2.5,Chunichi,JPCL,Fgn,,7,12,.368,3.59,3.87,25,,,1,1,0,160.2,153,69,64,14,41,1,134,4,0,3,665,1.207,8.6,0.8,2.3,7.5,3.27
2024,26,-1.6,Chunichi,JPCL,Fgn,,5,11,.313,3.12,3.68,24,,,0,0,0,144.1,151,59,50,9,22,2,82,4,0,2,602,1.199,9.4,0.6,1.4,5.1,3.73
2025,27,,3 Teams,3 Lgs,AAA-A+-Rk,WSN,2,1,.667,3.71,3.97,8,8,0,0,0,0,34.0,35,15,14,2,10,0,31,1,0,1,145,1.324,9.3,0.5,2.6,8.2,3.10
2025,27,-0.3,Rochester,IL,AAA,WSN,2,1,.667,3.60,3.96,5,5,0,0,0,0,25.0,28,11,10,1,8,0,19,0,0,1,109,1.440,10.1,0.4,2.9,6.8,2.38
2025,27,3.8,Wilmington,SALL,A+,WSN,0,0,,5.14,5.14,2,2,0,0,0,0,7.0,6,4,4,1,2,0,10,0,0,0,29,1.143,7.7,1.3,2.6,12.9,5.00
2025,27,6.1,Nationals,FCL,Rk,WSN,0,0,,0.00,0.00,1,1,0,0,0,0,2.0,1,0,0,0,0,0,2,1,0,0,7,0.500,4.5,0.0,0.0,9.0,
2025,27,-2.1,WSN,NL,Maj,WSN,1,1,.500,6.98,6.98,23,2,7,0,0,0,38.2,43,30,30,9,17,0,30,3,0,1,173,1.552,10.0,2.1,4.0,7.0,1.76
