Year,Age,AgeDif,Tm,Lg,Lev,Aff,W,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
2013,19,-9.4,Hanshin,JPCL,Fgn,,10,6,.625,2.75,3.14,24,23,0,0,0,0,137.2,119,48,42,10,44,0,126,2,0,8,563,1.184,7.8,0.7,2.9,8.2,2.86
2014,20,,2 Teams,2 Lgs,Fgn,,12,8,.600,3.44,4.29,26,25,0,2,0,0,170.0,153,81,65,7,66,0,182,11,0,6,730,1.288,8.1,0.4,3.5,9.6,2.76
2014,20,-8.4,Hanshin,JPCL,Fgn,,11,8,.579,3.53,4.36,25,25,0,2,0,0,163.0,150,79,64,6,64,0,172,11,0,6,704,1.313,8.3,0.3,3.5,9.5,2.69
2014,20,-7.2,Hanshin,JPWL,Fgn,,1,0,1.000,1.29,2.57,1,,,0,0,0,7.0,3,2,1,1,2,0,10,0,0,0,26,0.714,3.9,1.3,2.6,12.9,5.00
2015,21,-7.5,Hanshin,JPCL,Fgn,,14,7,.667,2.40,3.17,28,28,0,7,4,0,199.0,162,70,53,9,82,0,221,11,0,9,840,1.226,7.3,0.4,3.7,10.0,2.70
2016,22,-6.0,Hanshin,JPCL,Fgn,,7,11,.389,3.25,4.15,26,,,2,1,0,169.0,152,78,61,11,70,0,176,8,1,6,734,1.314,8.1,0.6,3.7,9.4,2.51
2017,23,,2 Teams,2 Lgs,Fgn,,9,7,.563,3.38,3.98,26,11,0,0,0,0,120.0,103,53,45,9,76,0,118,11,0,10,534,1.492,7.7,0.7,5.7,8.9,1.55
2017,23,-3.2,Hanshin,JPWL,Fgn,,6,2,.750,2.66,3.39,15,,,0,0,0,61.0,50,23,18,4,31,0,77,3,0,5,263,1.328,7.4,0.6,4.6,11.4,2.48
2017,23,-4.7,Hanshin,JPCL,Fgn,,3,5,.375,4.12,4.58,11,11,0,0,0,0,59.0,53,30,27,5,45,0,41,8,0,5,271,1.661,8.1,0.8,6.9,6.3,0.91
2018,24,,2 Teams,2 Lgs,Fgn,,9,4,.692,3.36,3.69,25,,,1,1,0,134.0,117,55,50,6,70,0,130,5,0,10,580,1.396,7.9,0.4,4.7,8.7,1.86
2018,24,-3.9,Hanshin,JPCL,Fgn,,5,3,.625,5.32,5.70,13,,,1,1,0,71.0,70,45,42,5,47,0,70,4,0,5,326,1.648,8.9,0.6,6.0,8.9,1.49
