Year,Age,AgeDif,Tm,Lg,Lev,Aff,W,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
2016,22,,2 Teams,2 Lgs,Fgn,,8,10,.444,2.85,3.03,25,,,0,0,0,145.1,115,49,46,16,40,1,152,2,0,2,579,1.067,7.1,1.0,2.5,9.4,3.80
2016,22,-6.0,Yokohama,JPCL,Fgn,,8,9,.471,2.93,3.13,22,,,0,0,0,135.1,108,47,44,16,38,1,136,2,0,1,541,1.079,7.2,1.1,2.5,9.0,3.58
2016,22,-4.8,Yokohama,JPEL,Fgn,,0,1,.000,1.80,1.80,3,,,0,0,0,10.0,7,2,2,0,2,0,16,0,0,1,38,0.900,6.3,0.0,1.8,14.4,8.00
2017,23,,2 Teams,2 Lgs,Fgn,,12,7,.632,2.86,2.86,25,24,0,3,2,0,154.0,117,49,49,13,53,2,146,5,0,3,621,1.104,6.8,0.8,3.1,8.5,2.75
2017,23,-4.7,Yokohama,JPCL,Fgn,,11,7,.611,2.98,2.98,24,24,0,3,2,0,148.0,115,49,49,13,52,2,140,5,0,3,600,1.128,7.0,0.8,3.2,8.5,2.69
2017,23,-3.2,Yokohama,JPEL,Fgn,,1,0,1.000,0.00,0.00,1,,,0,0,0,6.0,2,0,0,0,1,0,6,0,0,0,21,0.500,3.0,0.0,1.5,9.0,6.00
2018,24,,3 Teams,3 Lgs,Fgn,,9,13,.409,4.68,5.84,35,6,0,1,0,0,140.1,140,91,73,19,47,6,157,5,0,10,609,1.333,9.0,1.2,3.0,10.1,3.34
2018,24,-3.9,Yokohama,JPCL,Fgn,,4,11,.267,6.80,8.19,23,,,1,0,0,84.2,108,77,64,18,38,6,80,4,0,6,402,1.724,11.5,1.9,4.0,8.5,2.11
2018-19,24,-2.9,Canberra,AUBL,Fgn,,4,0,1.000,0.51,0.77,6,6,0,0,0,0,35.0,14,3,2,1,1,0,57,1,0,2,122,0.429,3.6,0.3,0.3,14.7,57.00
2018,24,-2.1,Yokohama,JPEL,Fgn,,1,2,.333,3.05,4.79,6,,,0,0,0,20.2,18,11,7,0,8,0,20,0,0,2,85,1.258,7.8,0.0,3.5,8.7,2.50
2019,25,-2.8,Yokohama,JPCL,Fgn,,13,7,.650,2.91,3.12,25,,,3,3,0,170.0,128,59,55,18,56,8,186,4,0,2,684,1.082,6.8,1.0,3.0,9.8,3.32
2020,26,-1.5,Yokohama,JPCL,Fgn,,5,3,.625,3.23,4.08,9,,,0,0,0,53.0,47,24,19,2,17,1,63,1,0,2,224,1.208,8.0,0.3,2.9,10.7,3.71
2021,27,,2 Teams,2 Lgs,Fgn,,8,6,.571,2.83,2.95,25,,,1,0,0,149.1,118,49,47,18,32,3,140,5,0,1,584,1.004,7.1,1.1,1.9,8.4,4.38
2021,27,-0.2,Yokohama,JPCL,Fgn,,5,5,.500,3.08,3.23,19,,,1,0,0,120.0,97,43,41,16,26,3,110,4,0,0,476,1.025,7.3,1.2,2.0,8.3,4.23
2021,27,1.7,Yokohama,JPEL,Fgn,,3,1,.750,1.84,1.84,6,,,0,0,0,29.1,21,6,6,2,6,0,30,1,0,1,108,0.920,6.4,0.6,1.8,9.2,5.00
2022,28,,2 Teams,2 Lgs,Fgn,,12,4,.750,2.04,2.10,24,,,3,2,0,158.2,111,37,36,14,32,1,151,3,0,3,611,0.901,6.3,0.8,1.8,8.6,4.72
2022,28,0.8,Yokohama,JPCL,Fgn,,11,4,.733,2.26,2.32,21,,,3,2,0,143.2,106,37,36,14,29,1,132,3,0,3,560,0.940,6.6,0.9,1.8,8.3,4.55
2022,28,3.0,Yokohama,JPEL,Fgn,,1,0,1.000,0.00,0.00,3,,,0,0,0,15.0,5,0,0,0,3,0,19,0,0,0,51,0.533,3.0,0.0,1.8,11.4,6.33
2023,29,,2 Teams,2 Lgs,Fgn,,7,5,.583,2.66,2.77,24,,,2,0,0,159.0,138,49,47,18,24,4,188,4,0,3,637,1.019,7.8,1.0,1.4,10.6,7.83
2023,29,1.5,Yokohama,JPCL,Fgn,,7,4,.636,2.80,2.80,22,,,2,0,0,148.0,132,46,46,17,24,4,174,4,0,2,596,1.054,8.0,1.0,1.5,10.6,7.25
2023,29,3.6,Yokohama,JPEL,Fgn,,0,1,.000,0.82,2.45,2,,,0,0,0,11.0,6,3,1,1,0,0,14,0,0,1,41,0.545,4.9,0.8,0.0,11.5,
2024,30,0.9,CHC,NL,Maj,CHC,15,3,.833,2.91,3.43,29,29,0,0,0,0,173.1,149,66,56,27,28,0,174,3,0,3,694,1.021,7.7,1.4,1.5,9.0,6.21
2025,31,,2 Teams,2 Lgs,Rk-AAA,CHC,0,0,,0.00,0.00,3,3,0,0,0,0,10.1,6,0,0,0,2,0,16,0,0,0,37,0.774,5.2,0.0,1.7,13.9,8.00
2025,31,3.7,Iowa,IL,AAA,CHC,0,0,,0.00,0.00,1,1,0,0,0,0,4.1,2,0,0,0,2,0,8,0,0,0,17,0.923,4.2,0.0,4.2,16.6,4.00
2025,31,9.9,Cubs,ACL,Rk,CHC,0,0,,0.00,0.00,2,2,0,0,0,0,6.0,4,0,0,0,0,0,8,0,0,0,20,0.667,6.0,0.0,0.0,12.0,
2025,31,1.9,CHC,NL,Maj,CHC,9,8,.529,3.73,3.86,25,25,0,0,0,0,144.2,117,62,60,31,26,0,117,1,0,1,567,0.988,7.3,1.9,1.6,7.3,4.50
