Year,Age,AgeDif,Tm,Lg,Lev,Aff,W,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
2006,18,-10.6,Yokohama,JPCL,Fgn,,1,2,.333,6.43,6.43,5,5,0,0,0,0,21.0,22,15,15,8,8,0,17,2,0,0,93,1.429,9.4,3.4,3.4,7.3,2.13
2007,19,-9.9,Yokohama,JPCL,Fgn,,0,3,.000,6.30,7.20,6,4,,0,0,0,20.0,21,16,14,4,10,0,14,1,0,1,94,1.550,9.5,1.8,4.5,6.3,1.40
2008,20,,2 Teams,2 Lgs,Fgn,,5,4,.556,2.24,2.57,51,0,,0,0,3,108.2,79,31,27,7,56,0,126,5,0,9,455,1.242,6.5,0.6,4.6,10.4,2.25
2008,20,-6.1,Shonan,JPEL,Fgn,,4,3,.571,2.65,3.07,35,,,0,0,3,85.0,69,29,25,6,40,0,98,4,0,7,359,1.282,7.3,0.6,4.2,10.4,2.45
2008,20,-8.2,Yokohama,JPCL,Fgn,,1,1,.500,0.76,0.76,16,0,,0,0,0,23.2,10,2,2,1,16,0,28,1,0,2,96,1.099,3.8,0.4,6.1,10.6,1.75
2009,21,,2 Teams,2 Lgs,Fgn,,5,4,.556,3.12,3.43,53,0,,0,0,19,57.2,45,22,20,7,17,0,71,4,0,5,231,1.075,7.0,1.1,2.7,11.1,4.18
2009,21,-7.6,Yokohama,JPCL,Fgn,,5,4,.556,3.27,3.60,51,0,,0,0,18,55.0,44,22,20,7,17,0,68,4,0,5,223,1.109,7.2,1.1,2.8,11.1,4.00
2009,21,-5.5,Shonan,JPEL,Fgn,,0,0,,0.00,0.00,2,,,0,0,1,2.2,1,0,0,0,0,0,3,0,0,0,8,0.375,3.4,0.0,0.0,10.1,
2010,22,-6.3,Yokohama,JPCL,Fgn,,2,8,.200,2.62,2.62,54,0,49,0,0,30,68.2,57,20,20,6,24,5,78,1,0,3,282,1.180,7.5,0.8,3.1,10.2,3.25
2011,23,,2 Teams,2 Lgs,Fgn,,2,6,.250,2.45,2.89,60,0,58,0,0,34,62.1,46,20,17,5,19,1,50,4,0,3,256,1.043,6.6,0.7,2.7,7.2,2.63
2011,23,-5.0,Yokohama,JPCL,Fgn,,2,6,.250,2.49,2.93,59,0,58,0,0,34,61.1,46,20,17,5,19,1,48,4,0,3,253,1.060,6.8,0.7,2.8,7.0,2.53
2011,23,-3.8,Yokohama,JPEL,Fgn,,0,0,,0.00,0.00,1,,,0,0,0,1.0,0,0,0,0,0,0,2,0,0,0,3,0.000,0.0,0.0,0.0,18.0,
2012,24,-4.4,Yokohama,JPCL,Fgn,,1,2,.333,1.74,1.89,60,0,56,0,0,22,62.0,46,13,12,1,22,4,62,5,0,2,258,1.097,6.7,0.1,3.2,9.0,2.82
2013,25,,2 Teams,2 Lgs,Fgn,,5,2,.714,4.78,4.78,48,0,23,0,0,8,52.2,50,28,28,6,16,1,57,2,0,5,224,1.253,8.5,1.0,2.7,9.7,3.56
2013,25,-3.4,Yokohama,JPCL,Fgn,,5,2,.714,5.40,5.40,44,0,23,0,0,7,46.2,46,28,28,6,16,1,48,2,0,5,202,1.329,8.9,1.2,3.1,9.3,3.00
2013,25,-1.7,Yokohama,JPEL,Fgn,,0,0,,0.00,0.00,4,,,0,0,1,6.0,4,0,0,0,0,0,9,0,0,0,22,0.667,6.0,0.0,0.0,13.5,
2014,26,,2 Teams,2 Lgs,Fgn,,9,5,.643,2.69,3.90,35,17,5,3,2,1,134.0,109,58,40,5,61,0,107,3,0,5,569,1.269,7.3,0.3,4.1,7.2,1.75
2014,26,-2.4,Yokohama,JPCL,Fgn,,8,5,.615,2.90,4.21,33,17,5,3,2,0,124.0,107,58,40,5,60,0,96,3,0,5,536,1.347,7.8,0.4,4.4,7.0,1.60
2014,26,-0.7,Yokohama,JPEL,Fgn,,1,0,1.000,0.00,0.00,2,,,0,0,1,10.0,2,0,0,0,1,0,11,0,0,0,33,0.300,1.8,0.0,0.9,9.9,11.00
