Year,Age,AgeDif,Tm,Lg,Lev,Aff,W,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
2017,18,,2 Teams,2 Lgs,Fgn,,3,1,.750,2.35,2.35,13,5,0,0,0,0,57.1,52,15,15,3,9,0,48,2,0,0,229,1.064,8.2,0.5,1.4,7.5,5.33
2017,18,-8.2,Orix,JPWL,Fgn,,2,0,1.000,0.27,0.27,8,,,0,0,0,33.2,20,1,1,0,2,0,28,1,0,0,120,0.653,5.3,0.0,0.5,7.5,14.00
2017,18,-9.7,Orix,JPPL,Fgn,,1,1,.500,5.32,5.32,5,5,0,0,0,0,23.2,32,14,14,3,7,0,20,1,0,0,109,1.648,12.2,1.1,2.7,7.6,2.86
2018,19,,2 Teams,2 Lgs,Fgn,,6,2,.750,2.10,2.34,60,,,0,0,1,77.0,50,20,18,4,23,1,69,3,1,2,300,0.948,5.8,0.5,2.7,8.1,3.00
2018,19,-8.6,Orix,JPPL,Fgn,,4,2,.667,2.89,3.23,54,,,0,0,1,53.0,40,19,17,4,16,1,46,2,0,2,213,1.057,6.8,0.7,2.7,7.8,2.88
2018,19,-6.6,Orix,JPWL,Fgn,,2,0,1.000,0.38,0.38,6,,,0,0,0,24.0,10,1,1,0,7,0,23,1,1,0,87,0.708,3.8,0.0,2.6,8.6,3.29
2019,20,,2 Teams,2 Lgs,Fgn,,8,7,.533,1.99,2.42,21,,,1,1,0,149.0,105,40,33,8,37,0,133,3,1,3,576,0.953,6.3,0.5,2.2,8.0,3.59
2019,20,-7.4,Orix,JPPL,Fgn,,8,6,.571,1.95,2.33,20,,,1,1,0,143.0,101,37,31,8,36,0,127,3,1,3,553,0.958,6.4,0.5,2.3,8.0,3.53
2019,20,-5.3,Orix,JPWL,Fgn,,0,1,.000,3.00,4.50,1,,,0,0,0,6.0,4,3,2,0,1,0,6,0,0,0,23,0.833,6.0,0.0,1.5,9.0,6.00
2020,21,-6.7,Orix,JPPL,Fgn,,8,4,.667,2.20,2.42,18,,,1,0,0,126.2,82,34,31,6,37,0,149,6,0,1,494,0.939,5.8,0.4,2.6,10.6,4.03
2021,22,-5.7,Orix,JPPL,Fgn,,18,5,.783,1.39,1.72,26,,,6,4,0,193.2,124,37,30,7,40,1,206,2,0,3,736,0.847,5.8,0.3,1.9,9.6,5.15
2022,23,-4.6,Orix,JPPL,Fgn,,15,5,.750,1.68,1.96,26,,,4,2,0,193.0,137,42,36,6,42,0,205,5,0,0,747,0.927,6.4,0.3,2.0,9.6,4.88
2023,24,,2 Teams,2 Lgs,Fgn,,17,6,.739,1.16,1.42,24,,,2,1,0,171.0,119,27,22,2,28,0,176,6,0,1,659,0.860,6.3,0.1,1.5,9.3,6.29
2023,24,-3.7,Orix,JPPL,Fgn,,16,6,.727,1.21,1.48,23,,,2,1,0,164.0,117,27,22,2,28,0,169,6,0,1,636,0.884,6.4,0.1,1.5,9.3,6.04
2023,24,-1.7,Orix,JPWL,Fgn,,1,0,1.000,0.00,0.00,1,,,0,0,0,7.0,2,0,0,0,0,0,7,0,0,0,23,0.286,2.6,0.0,0.0,9.0,
2024,25,-2.5,Oklahoma City,PCL,AAA,LAD,0,1,.000,6.75,6.75,2,2,0,0,0,0,4.0,3,3,3,1,2,0,5,0,0,0,17,1.250,6.8,2.3,4.5,11.3,2.50
2024,25,-4.1,LAD,NL,Maj,LAD,7,2,.778,3.00,3.20,18,18,0,0,0,0,90.0,78,32,30,7,22,0,105,1,0,2,368,1.111,7.8,0.7,2.2,10.5,4.77
2025,26,-3.1,LAD,NL,Maj,LAD,12,8,.600,2.49,2.75,30,30,0,0,0,0,173.2,113,53,48,14,59,0,201,3,0,5,684,0.990,5.9,0.7,3.1,10.4,3.41
