Year,Age,AgeDif,Tm,Lg,Lev,Aff,W,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
2010,19,-7.1,Seibu,JPEL,Fgn,,1,1,.500,0.00,1.13,2,,,0,0,0,8.0,3,1,0,0,3,0,2,0,0,0,30,0.750,3.4,0.0,3.4,2.3,0.67
2011,20,,3 Teams,3 Lgs,Fgn,,8,7,.533,3.74,3.94,26,14,0,3,0,0,134.2,145,59,56,13,34,0,81,7,0,6,577,1.329,9.7,0.9,2.3,5.4,2.38
2011,20,-6.8,Seibu,JPEL,Fgn,,3,4,.429,3.07,3.07,11,,,1,0,0,55.2,54,19,19,5,16,0,35,3,0,2,234,1.257,8.7,0.8,2.6,5.7,2.19
2011,20,-8.2,Seibu,JPPL,Fgn,,4,1,.800,4.14,4.31,10,9,0,2,0,0,54.1,63,26,25,6,8,0,24,3,0,1,231,1.307,10.4,1.0,1.3,4.0,3.00
2011-12,20,-5.5,Melbourne,AUBL,Fgn,,1,2,.333,4.38,5.11,5,5,0,0,0,0,24.2,28,14,12,2,10,0,22,1,0,3,112,1.541,10.2,0.7,3.6,8.0,2.20
2012,21,,2 Teams,2 Lgs,Fgn,,5,8,.385,3.71,4.37,24,12,1,0,0,1,123.2,119,60,51,8,40,0,92,4,0,6,529,1.286,8.7,0.6,2.9,6.7,2.30
2012,21,-7.1,Seibu,JPPL,Fgn,,4,3,.571,3.10,3.76,14,12,1,0,0,1,81.1,75,34,28,5,25,0,57,1,0,3,339,1.230,8.3,0.6,2.8,6.3,2.28
2012,21,-6.2,Seibu,JPEL,Fgn,,1,5,.167,4.89,5.53,10,,,0,0,0,42.1,44,26,23,3,15,0,35,3,0,3,190,1.394,9.4,0.6,3.2,7.4,2.33
2013,22,,2 Teams,2 Lgs,Fgn,,9,4,.692,2.11,2.51,19,17,0,3,3,0,111.0,83,31,26,5,46,0,94,4,0,2,456,1.162,6.7,0.4,3.7,7.6,2.04
2013,22,-5.8,Seibu,JPPL,Fgn,,9,4,.692,1.92,2.33,17,17,0,3,3,0,108.0,79,28,23,5,44,0,92,3,0,2,441,1.139,6.6,0.4,3.7,7.7,2.09
2013,22,-4.7,Seibu,JPEL,Fgn,,0,0,,9.00,9.00,2,,,0,0,0,3.0,4,3,3,0,2,0,2,1,0,0,15,2.000,12.0,0.0,6.0,6.0,1.00
2014,23,-4.6,Seibu,JPPL,Fgn,,5,11,.313,3.54,3.93,23,23,0,1,0,0,139.2,133,61,55,9,78,0,111,5,1,7,615,1.511,8.6,0.6,5.0,7.2,1.42
2015,24,,2 Teams,2 Lgs,Fgn,,9,10,.474,2.61,2.98,27,21,0,0,0,0,148.0,104,49,43,9,60,1,142,3,1,5,599,1.108,6.3,0.5,3.6,8.6,2.37
2015,24,-3.6,Seibu,JPPL,Fgn,,9,10,.474,2.84,3.25,23,21,0,0,0,0,133.0,97,48,42,9,55,1,122,2,1,5,542,1.143,6.6,0.6,3.7,8.3,2.22
2015,24,-2.8,Seibu,JPEL,Fgn,,0,0,,0.60,0.60,4,,,0,0,0,15.0,7,1,1,0,5,0,20,1,0,0,57,0.800,4.2,0.0,3.0,12.0,4.00
2016,25,,2 Teams,2 Lgs,Fgn,,12,7,.632,2.52,3.12,24,,,2,0,0,150.0,120,52,42,8,67,0,143,2,0,3,619,1.247,7.2,0.5,4.0,8.6,2.13
2016,25,-2.7,Seibu,JPPL,Fgn,,12,7,.632,2.58,3.21,22,,,2,0,0,143.0,117,51,41,7,67,0,127,2,0,3,595,1.287,7.4,0.4,4.2,8.0,1.90
2016,25,-1.8,Seibu,JPEL,Fgn,,0,0,,1.29,1.29,2,,,0,0,0,7.0,3,1,1,1,0,0,16,0,0,0,24,0.429,3.9,1.3,0.0,20.6,
2017,26,-1.7,Seibu,JPPL,Fgn,,16,6,.727,1.97,2.35,26,26,0,6,4,0,187.2,122,49,41,16,49,0,217,6,0,6,735,0.911,5.9,0.8,2.3,10.4,4.43
2018,27,,2 Teams,2 Lgs,Fgn,,14,5,.737,3.04,3.37,24,,,1,0,0,165.2,128,62,56,17,45,1,157,4,0,7,666,1.044,7.0,0.9,2.4,8.5,3.49
2018,27,-0.6,Seibu,JPPL,Fgn,,14,4,.778,3.08,3.24,23,,,1,0,0,163.2,124,59,56,16,45,1,153,4,0,7,654,1.033,6.8,0.9,2.5,8.4,3.40
2018,27,0.9,Seibu,JPEL,Fgn,,0,1,.000,0.00,13.50,1,,,0,0,0,2.0,4,3,0,1,0,0,4,0,0,0,12,2.000,18.0,4.5,0.0,18.0,
2019,28,-0.4,SEA,AL,Maj,SEA,6,11,.353,5.46,6.07,32,32,0,1,1,0,161.2,195,109,98,36,50,0,116,6,1,5,721,1.515,10.9,2.0,2.8,6.5,2.32
2020,29,0.8,SEA,AL,Maj,SEA,2,4,.333,5.17,5.17,9,9,0,0,0,0,47.0,41,27,27,3,20,0,47,0,0,3,194,1.298,7.9,0.6,3.8,9.0,2.35
2021,30,1.5,SEA,AL,Maj,SEA,7,9,.438,4.41,4.70,29,29,0,0,0,0,157.0,145,82,77,27,62,0,163,5,0,6,666,1.318,8.3,1.5,3.6,9.3,2.63
2022,31,4.0,Buffalo,IL,AAA,TOR,1,0,1.000,0.00,0.00,1,1,0,0,0,0,5.0,2,0,0,0,3,0,4,0,0,0,18,1.000,3.6,0.0,5.4,7.2,1.33
2022,31,2.6,TOR,AL,Maj,TOR,6,7,.462,5.19,5.99,32,20,4,0,0,1,100.2,93,67,58,23,58,0,124,9,0,3,454,1.500,8.3,2.1,5.2,11.1,2.14
2023,32,3.3,TOR,AL,Maj,TOR,11,6,.647,3.86,4.19,32,32,0,0,0,0,167.2,165,78,72,27,48,0,181,4,0,7,700,1.270,8.9,1.4,2.6,9.7,3.77
2024,33,,2 Teams,AL,Maj,HOU-TOR,9,10,.474,4.05,4.35,32,32,0,0,0,0,175.2,167,85,79,25,44,0,206,2,0,4,736,1.201,8.6,1.3,2.3,10.6,4.68
2024,33,4.0,TOR,AL,Maj,TOR,4,9,.308,4.75,4.90,22,22,0,0,0,0,115.2,125,63,61,17,30,0,130,2,0,2,497,1.340,9.7,1.3,2.3,10.1,4.33
2024,33,4.0,HOU,AL,Maj,HOU,5,1,.833,2.70,3.30,10,10,0,0,0,0,60.0,42,22,18,8,14,0,76,0,0,2,239,0.933,6.3,1.2,2.1,11.4,5.43
2025,34,4.8,LAA,AL,Maj,LAA,7,11,.389,3.99,4.39,33,33,0,0,0,0,178.1,180,87,79,24,74,3,174,3,0,8,772,1.424,9.1,1.2,3.7,8.8,2.35
